,angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0,0.16,"[248, 154, 209, 262]",0.0,0.19,0.02,0.49,0.11,0.03
1,0.16,"[248, 154, 209, 262]",0.0,0.19,0.02,0.49,0.11,0.03
2,0.14,"[257, 150, 199, 256]",0.0,0.17,0.06,0.48,0.12,0.03
3,0.13,"[252, 140, 210, 263]",0.0,0.12,0.07,0.44,0.2,0.03
4,0.16,"[237, 138, 206, 245]",0.0,0.16,0.05,0.1,0.51,0.0
5,0.26,"[209, 122, 214, 259]",0.0,0.14,0.09,0.14,0.35,0.01
6,0.39,"[178, 121, 219, 267]",0.0,0.17,0.11,0.23,0.08,0.02
7,0.21,"[154, 139, 214, 252]",0.01,0.22,0.12,0.17,0.25,0.02
8,0.23,"[15, 199, 216, 238]",0.0,0.01,0.51,0.18,0.07,0.0
9,0.12,"[14, 207, 210, 232]",0.0,0.02,0.49,0.28,0.09,0.0
10,0.13,"[73, 207, 133, 157]",0.0,0.02,0.33,0.3,0.22,0.0
11,0.14,"[13, 204, 217, 235]",0.0,0.02,0.45,0.29,0.1,0.0
12,0.26,"[99, 167, 203, 243]",0.0,0.1,0.1,0.09,0.46,0.0
13,0.2,"[113, 136, 214, 259]",0.0,0.07,0.03,0.26,0.44,0.0
14,0.23,"[150, 122, 205, 245]",0.0,0.15,0.28,0.15,0.16,0.02
15,0.29,"[167, 125, 208, 254]",0.01,0.23,0.12,0.24,0.11,0.01
16,0.28,"[186, 122, 210, 260]",0.03,0.35,0.04,0.06,0.22,0.02
17,0.25,"[201, 130, 211, 260]",0.01,0.34,0.01,0.18,0.14,0.07
18,0.22,"[209, 135, 209, 264]",0.0,0.38,0.02,0.19,0.09,0.1
19,0.32,"[200, 127, 224, 276]",0.02,0.19,0.05,0.27,0.09,0.07
20,0.11,"[213, 127, 202, 248]",0.0,0.31,0.04,0.42,0.09,0.03
21,0.07,"[196, 127, 209, 273]",0.0,0.13,0.22,0.5,0.04,0.05
22,0.17,"[199, 145, 205, 250]",0.0,0.19,0.05,0.37,0.16,0.04
23,0.18,"[194, 140, 202, 253]",0.0,0.17,0.03,0.44,0.14,0.03
24,0.27,"[189, 152, 200, 245]",0.0,0.35,0.01,0.25,0.09,0.03
25,0.12,"[185, 147, 208, 263]",0.0,0.1,0.02,0.65,0.08,0.02
26,0.12,"[187, 147, 207, 262]",0.0,0.1,0.03,0.65,0.05,0.04
27,0.14,"[188, 144, 210, 267]",0.0,0.08,0.02,0.64,0.09,0.02
28,0.25,"[190, 144, 210, 263]",0.0,0.15,0.03,0.46,0.08,0.03
29,0.16,"[194, 140, 208, 263]",0.0,0.18,0.04,0.49,0.08,0.06
30,0.16,"[195, 142, 208, 255]",0.0,0.19,0.02,0.46,0.15,0.02
31,0.17,"[197, 159, 202, 240]",0.0,0.22,0.02,0.37,0.2,0.02
32,0.19,"[197, 153, 204, 243]",0.01,0.29,0.02,0.29,0.17,0.03
33,0.19,"[196, 145, 209, 255]",0.0,0.35,0.02,0.27,0.14,0.03
34,0.19,"[199, 144, 207, 253]",0.0,0.32,0.03,0.3,0.09,0.07
35,0.3,"[198, 146, 206, 250]",0.01,0.29,0.02,0.18,0.11,0.1
36,0.17,"[197, 153, 203, 241]",0.0,0.29,0.02,0.2,0.19,0.13
37,0.33,"[200, 144, 204, 251]",0.01,0.37,0.01,0.1,0.1,0.09
38,0.19,"[196, 156, 201, 244]",0.0,0.29,0.03,0.23,0.16,0.09
39,0.21,"[200, 149, 203, 246]",0.02,0.32,0.01,0.23,0.16,0.06
40,0.3,"[199, 148, 204, 246]",0.0,0.4,0.01,0.13,0.11,0.05
41,0.25,"[197, 143, 211, 256]",0.0,0.24,0.04,0.33,0.09,0.04
42,0.24,"[198, 146, 206, 249]",0.0,0.36,0.02,0.22,0.1,0.05
43,0.15,"[196, 148, 209, 251]",0.0,0.31,0.05,0.31,0.09,0.1
44,0.05,"[198, 126, 215, 266]",0.0,0.13,0.05,0.65,0.09,0.03
45,0.14,"[201, 150, 204, 241]",0.0,0.2,0.03,0.49,0.1,0.04
46,0.29,"[197, 145, 211, 251]",0.01,0.28,0.02,0.21,0.12,0.07
47,0.1,"[199, 144, 208, 253]",0.0,0.17,0.03,0.59,0.06,0.05
48,0.18,"[196, 147, 211, 256]",0.0,0.21,0.03,0.46,0.06,0.06
49,0.11,"[198, 144, 209, 253]",0.0,0.13,0.02,0.6,0.06,0.07
50,0.33,"[199, 143, 212, 254]",0.0,0.26,0.03,0.22,0.06,0.08
51,0.16,"[198, 142, 213, 271]",0.0,0.1,0.03,0.54,0.1,0.07
52,0.2,"[201, 139, 216, 273]",0.0,0.1,0.03,0.5,0.08,0.1
53,0.21,"[209, 135, 220, 275]",0.01,0.21,0.05,0.32,0.16,0.03
54,0.17,"[222, 117, 229, 288]",0.0,0.18,0.21,0.35,0.09,0.01
55,0.17,"[241, 147, 217, 255]",0.0,0.36,0.15,0.25,0.05,0.03
56,0.22,"[264, 137, 224, 274]",0.0,0.18,0.17,0.29,0.13,0.01
57,0.36,"[295, 133, 212, 270]",0.01,0.2,0.09,0.04,0.29,0.01
58,0.13,"[262, 158, 225, 271]",0.0,0.48,0.08,0.13,0.17,0.01
59,0.25,"[249, 136, 230, 295]",0.0,0.12,0.11,0.12,0.4,0.01
60,0.2,"[251, 137, 222, 284]",0.0,0.33,0.12,0.18,0.15,0.03
61,0.19,"[254, 139, 224, 289]",0.0,0.19,0.11,0.16,0.33,0.01
62,0.12,"[293, 143, 189, 242]",0.0,0.22,0.41,0.05,0.15,0.05
63,0.1,"[271, 173, 137, 168]",0.0,0.23,0.28,0.2,0.17,0.01
64,0.24,"[291, 147, 191, 241]",0.0,0.16,0.26,0.13,0.17,0.04
